v_inf,re,im
5.0,-69.42617237501557,-294.08322537329104
5.0,-67.99755239563589,-293.97556613855386
5.0,-68.68643363683256,-293.9208597204298
5.0,-68.22495186535093,-293.79001385959117
5.0,-68.15174490972598,-293.3727159405671
5.0,-39.04035876596678,-292.7502626902564
5.0,-52.161527798706565,-292.5500914928127
5.0,-64.07112913826579,-292.3324244582307
5.0,-68.06882131352246,-291.2319425719242
5.0,-68.17949855534174,-290.0358117708965
5.0,-70.1372721018511,-289.333989001234
5.0,-68.19011440355727,-289.1365953527303
5.0,-5092.041322267909,-287.82852082129847
5.0,-68.29147252349932,-287.4660946904052
5.0,-69.28322176467519,-287.3828322372898
5.0,-68.53793661829874,-287.21129933063173
5.0,-56.939416632266365,-287.15212707195
5.0,-22.065463442075245,-286.97349827759035
5.0,-37.81700474568239,-286.87000116003446
5.0,-65.93951186099324,-286.1936542561001
5.0,-70.3553315130375,-284.89021608806695
5.0,-68.53293094923393,-284.3008904391212
5.0,-68.9215958809746,-283.64645383496116
5.0,-1720.370298457824,-283.4623526697138
5.0,-68.30097444303603,-283.439454822524
5.0,-68.99641837444781,-282.8988563767843
5.0,-68.15307089075192,-282.7872687644238
5.0,-67.60514138363416,-282.72207729689995
5.0,-67.99452745373414,-282.5978235825153
5.0,-69.24582618810197,-282.52748313915043
5.0,-68.43264576627904,-282.4459520387099
5.0,-68.25469808497806,-282.41312401511664
5.0,-68.16969764750418,-281.93339307534734
5.0,-38.980769483107224,-281.34011889962756
5.0,-52.088692415264084,-281.1361198262439
5.0,-63.99502735365684,-280.92785948443066
5.0,-68.23325146735897,-279.78476142783256
5.0,-2.0772971398443953,-279.2756760676782
5.0,-68.24097327635647,-278.48961165114235
5.0,-69.87006487029029,-277.7995859525967
5.0,-1871.1311725699297,-277.621577680331
5.0,-3762.673522347432,-277.6082786894008
5.0,-68.21644041108618,-277.59439297743825
5.0,-5185.104544481538,-277.5475059098996
5.0,-69.49653046767669,-276.07041292724637
5.0,-68.43203600597211,-276.0625693151572
5.0,-68.72638577135034,-275.7543724462118
5.0,-56.83546250479259,-275.7537929382272
5.0,-21.999480207820586,-275.56543815520314
5.0,-37.74995060145536,-275.44956575013845
5.0,-169.85650916618374,-275.3637554010218
5.0,-65.94013435548693,-274.7578996592746
5.0,-5200.621923061878,-273.151757996699
5.0,-70.64099332982411,-272.5998523202169
5.0,-68.72696249572574,-272.5837017915775
5.0,-4141.280275234712,-272.24051532838166
5.0,-2894.4186155521024,-272.22718248849435
5.0,-69.04630335825358,-271.8741295928759
5.0,-68.34170239211409,-271.84769957940466
5.0,-68.95879423235678,-271.3282325753829
5.0,-67.5884153673107,-271.20784816365415
5.0,-67.86469212449727,-271.14290984502014
5.0,-68.2825394512295,-271.11420398650296
5.0,-68.20374470205883,-270.9858304026461
5.0,-69.09794544707773,-270.8783766903996
5.0,-68.39498959789572,-270.7932093228243
5.0,-68.17423498488375,-270.48165528926233
5.0,-38.916536254702855,-269.93005632343636
5.0,-52.00532952681721,-269.72246542529524
5.0,-101.41398070193293,-269.603358617759
5.0,-63.90603396639364,-269.5246041365093
5.0,-68.34613058867642,-268.39062451659305
5.0,-68.34949248841288,-266.9269366418307
5.0,-5063.109926568361,-266.3242697854139
5.0,-69.58919512501984,-266.1320854046684
5.0,-68.22760549563158,-266.055575405426
5.0,-5246.515343077329,-265.5655986574795
5.0,-5302.964651961527,-265.5295556693458
5.0,-69.78663352232313,-264.80318682812094
5.0,-68.55072317235785,-264.6856995894784
5.0,-56.71025350133859,-264.3382566043023
5.0,-68.93844731273167,-264.33183679168667
5.0,-21.925363393325224,-264.16125909249195
