v_inf,re,im
5.0,-68.25657505956481,-298.5185722269493
5.0,-22.057282053518293,-298.17505187085743
5.0,-4499.931115004338,-297.9444523013876
5.0,-69.9552026705447,-296.7914559569804
5.0,-68.44653619948797,-295.9915765034448
5.0,-68.85080724265993,-295.4100724175856
5.0,-68.1640444864842,-295.08353145160817
5.0,-4209.660272080803,-294.7892876753228
5.0,-68.85760238041217,-294.6647318043279
5.0,-68.10414473973755,-294.6338790852551
5.0,-67.68176242893306,-294.2374228814027
5.0,-69.07618654960231,-293.9774293375919
5.0,-68.03081574652607,-293.96170918609624
5.0,-68.15451267798707,-293.74592713660223
5.0,-1886.133271417535,-293.45468295556043
5.0,-68.13030801695545,-293.3999333572593
5.0,-61.83310187347252,-293.2513779203209
5.0,-68.66847173295072,-292.9537807381099
5.0,-56.83684306367694,-292.22022940018655
5.0,-50.568831929660135,-291.5755807709148
5.0,-68.23976192434418,-291.25230305247646
5.0,-70.66723458193088,-290.87399028675594
5.0,-68.27882667542858,-289.9045451213611
5.0,-36.923733167812436,-289.17207937895745
5.0,-68.20083694365275,-289.11629820841466
5.0,-5083.181673550332,-289.10373640820006
5.0,-69.06756240284561,-288.85557854052615
5.0,-39.15538549674844,-288.7939698654355
5.0,-69.04440892877119,-287.39662870685015
5.0,-68.29297810321543,-287.3855580298999
5.0,-68.43363165770502,-287.03467151516134
5.0,-21.960303739754263,-286.7727556138866
5.0,-4757.92276231788,-285.8291814945096
5.0,-2652.2308479108538,-285.5729913128115
5.0,-5121.741251933104,-284.87440134282275
5.0,-70.70960287281356,-284.7854177052619
5.0,-68.6339289344326,-284.283937376296
5.0,-68.94115438024139,-283.6227589987827
5.0,-68.26928885463181,-283.593894699356
5.0,-68.6530653354058,-282.99708830938334
5.0,-68.06805612678575,-282.9328931891309
5.0,-67.60734124178587,-282.7294705681545
5.0,-68.0309252747001,-282.55530967899483
5.0,-68.19403727175032,-282.3037921563181
5.0,-68.93545974989082,-282.301594050151
5.0,-68.17870963224175,-281.9737302561892
5.0,-61.71116925227804,-281.8991138318004
5.0,-68.92791922087606,-281.59228725047814
5.0,-3897.6458213076544,-281.4436496607742
5.0,-56.84978955163964,-280.84527276163465
5.0,-50.55604702893602,-280.2155312553913
5.0,-68.46304877239749,-279.9081873876794
5.0,-70.14825916368228,-279.484765919092
5.0,-2.1002565870257417,-279.298142524639
5.0,-4666.206255022242,-278.54411144336683
5.0,-68.40160824768795,-278.46366150968294
5.0,-36.91628957719103,-278.0559259486295
5.0,-68.1855960258479,-277.5857927529585
5.0,-4485.406994988163,-277.46113379217576
5.0,-69.00495425658347,-277.28634199523657
5.0,-38.903054244590585,-277.1717134406084
5.0,-5172.994366447648,-276.6081497026889
5.0,-69.33539346633646,-276.0190048360481
5.0,-68.43447782419213,-276.0010702780679
5.0,-68.61676910971363,-275.58450856938754
5.0,-21.851933576472746,-275.3784588688111
5.0,-71.6226888180823,-272.73279642992566
5.0,-68.82921661940343,-272.59457928796706
5.0,-68.32301243801115,-272.0975265941057
5.0,-68.98706218876787,-271.82777107849665
5.0,-68.45925027535787,-271.35266939198294
5.0,-67.91467124732415,-271.25664672401814
5.0,-67.57844134989982,-271.18111761525506
5.0,-68.16760402233808,-271.0972827474295
5.0,-68.3177860840831,-270.8354687383353
5.0,-68.64430765877847,-270.61025182005636
5.0,-61.565589981113064,-270.54947523710166
5.0,-68.17751296457838,-270.53801983762753
5.0,-69.26200677741164,-270.5299008974409
5.0,-56.85243092096305,-269.4772951739912
5.0,-5308.595164333428,-269.270507270655
5.0,-50.527981588737624,-268.8479508980599
5.0,-68.45985872524182,-268.65835859429325
5.0,-69.67263968588004,-267.72787522450795
5.0,-68.4966712226247,-267.0257102252114
5.0,-36.838661234066954,-266.9549558341207
5.0,-68.17884366117161,-266.0295938395633
5.0,-68.94544503437955,-265.71053232477186
5.0,-38.70956872097144,-265.52872033508277
5.0,-4397.16973184602,-264.7727596013641
5.0,-69.63719560043718,-264.7015400341371
5.0,-68.54954358260528,-264.6229641732616
5.0,-68.78109531235715,-264.16910979687003
5.0,-21.726089753130374,-263.99682076779436
5.0,-3700.7914401091666,-262.2066035440744
5.0,-209.4374251152263,-261.29480513151543
5.0,-69.05543081493423,-260.90382790340806
5.0,-68.3542633127358,-260.5866143546433
5.0,-72.22520281632933,-260.40065877413554
5.0,-69.06592129909971,-260.0019372436238
5.0,-68.24223796224929,-259.90102897793383
5.0,-67.82261773787927,-259.71107564695654
5.0,-4150.157993641705,-259.6850717660161
5.0,-67.59778010909176,-259.62274103648065
5.0,-68.2425465227341,-259.51381711220995
5.0,-68.56682311849634,-259.2740519788179
5.0,-61.394107759382536,-259.1947820503153
5.0,-69.15261520523669,-259.0872754597036
5.0,-68.430522502664,-259.05504243113825
5.0,-68.15596369340511,-259.04967718456516
5.0,-2051.0595313948734,-258.30745788724187
5.0,-56.843988441875005,-258.11470152993184
5.0,-50.48639332586897,-257.46917425719715
5.0,-5326.237783748991,-257.209806153681
5.0,-68.37764616855918,-257.19379412610317
5.0,-69.51917456217454,-256.06654223198177
5.0,-91.03032477792698,-255.87420400441133
5.0,-36.69742354384,-255.83212768886327
5.0,-68.59912106637196,-255.5569149854125
5.0,-5278.150737495107,-255.29839027042155
5.0,-68.20462168474803,-254.45128239481053
5.0,-68.90785547521028,-254.16652524970596
5.0,-38.563562520058674,-253.8992439572104
5.0,-1.9082219443704396,-253.7696136231538
5.0,-69.87783794759106,-253.41877031883448
5.0,-68.6540124197187,-253.26468061291837
5.0,-68.92171800189018,-252.7647825448654
5.0,-21.564514818931116,-252.63375520219776
5.0,-4985.619340040671,-249.29319063513853
5.0,-69.31550301150993,-249.25095173844645
5.0,-68.35912344008804,-249.0548555683148
5.0,-1339.0424839881828,-248.76271817253917
5.0,-5085.820380678968,-248.48442984498632
5.0,-68.0752351533645,-248.47938350505854
5.0,-69.22414620822538,-248.24254527419126
5.0,-67.79597865210641,-248.1523222900435
5.0,-67.66120156730251,-248.07605086704822
5.0,-68.27677792967874,-247.9810213882598
5.0,-61.19858901200059,-247.8279587581529
5.0,-68.64804389920633,-247.70449250243146
5.0,-71.97302871763716,-247.5891371218795
5.0,-68.16016688062265,-247.51815457659663
5.0,-68.39087289533558,-247.4633573692951
5.0,-69.02753776526642,-247.37581074270648
5.0,-56.82404498546575,-246.75564244107184
5.0,-50.436244450776094,-246.0750484084228
5.0,-68.37500994907896,-245.64310884904253
5.0,-36.50657663481665,-244.67127471864254
5.0,-69.3538156589101,-244.53207775985734
5.0,-68.78109693205936,-244.07520079689928
5.0,-5201.246753061371,-243.2755935639457
5.0,-68.28126414545522,-242.87253051376464
5.0,-68.89630437464308,-242.65930294202994
5.0,-38.4448040571458,-242.29310969050158
5.0,-70.02935266435159,-242.13362738726423
5.0,-68.72540277250117,-241.94606259026293
5.0,-69.05349335106246,-241.36036198230903
5.0,-21.30728002080251,-241.27732613301802
5.0,-69.57084129444495,-237.6277529567399
5.0,-68.362955827832,-237.48719483549553
5.0,-5044.456055119998,-237.31969354381752
5.0,-67.96927363152146,-237.04621751830544
5.0,-67.7985062244198,-236.60978311161088
5.0,-67.76967217183602,-236.54526468456817
